id_proposicao,ano_proposicao,data_proposicao,sigla,tipo,tema,id_votacao,data_votacao,sigla_orgao,aprovacao,voto_sim,voto_nao,voto_outro,ano_votacao,total_votos,percentual_voto_sim,percentual_voto_sim_intervalo
355285,2007,2007-06-04,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355285,2007,2007-06-04,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355333,2007,2007-06-06,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355333,2007,2007-06-06,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355333,2007,2007-06-06,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355335,2007,2007-06-06,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355335,2007,2007-06-06,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355335,2007,2007-06-06,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355287,2007,2007-06-04,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355287,2007,2007-06-04,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355287,2007,2007-06-04,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355360,2007,2007-06-12,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355360,2007,2007-06-12,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355360,2007,2007-06-12,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355918,2007,2007-06-12,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355918,2007,2007-06-12,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355918,2007,2007-06-12,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355347,2007,2007-06-12,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355347,2007,2007-06-12,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355347,2007,2007-06-12,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355353,2007,2007-06-12,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355353,2007,2007-06-12,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355353,2007,2007-06-12,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355356,2007,2007-06-12,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355356,2007,2007-06-12,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355356,2007,2007-06-12,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355389,2007,2007-06-13,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355389,2007,2007-06-13,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355423,2007,2007-06-12,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355423,2007,2007-06-12,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355423,2007,2007-06-12,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355424,2007,2007-06-12,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355424,2007,2007-06-12,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355424,2007,2007-06-12,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355425,2007,2007-06-12,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355425,2007,2007-06-12,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355425,2007,2007-06-12,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355426,2007,2007-06-12,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355426,2007,2007-06-12,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355426,2007,2007-06-12,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
355427,2007,2007-06-12,EMP,Emenda de Plenário,,35374167.0,2007-06-13,PLEN,0.0,194.0,245.0,5.0,2007,444.0,0.4369369369369369,41-50%
355427,2007,2007-06-12,EMP,Emenda de Plenário,,353741128.0,2007-06-27,PLEN,0.0,203.0,240.0,1.0,2007,444.0,0.4572072072072072,41-50%
355427,2007,2007-06-12,EMP,Emenda de Plenário,,353741160.0,2007-07-11,PLEN,0.0,190.0,247.0,2.0,2007,439.0,0.4328018223234624,41-50%
